coord_x,coord_y,garage,rooms,size,address,price,type,farmac_dist,mercado_dist,restaurante_dist
-42.8070403,-14.9300655,0,0,0,"RUA SANTO ANTÔNIO, ESPINOSA, ESPINOSA",136,Casa,553.74,550.56,550.62
-43.96405015,-19.9027163,3,4,0,"RUA TRES,N. 700 BAIRRO MEU CHÃO, FRONTEIRA, FRONTEIRA",571,Casa,0.8,0.09,0.11
-41.9754739,-18.885454,1,2,0,"RUA OICILEF GUERRA,N. 161, CASTANHEIRAS, GOVERNADOR VALADARES",126,Casa,227.52,224.67,224.55
-43.96405015,-19.9027163,1,2,0,"RUA D (RUA ALEXANDRIA),N. 329 BAIRRO SÃO PEDRO, SÃO PEDRO, IBIRITE",64,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,0,0,0,"RUA NOVE (RUA CEDRO),N. 126 BAIRRO RECANTO VERDE, CENTRO, IBIRITE",333,Casa,0.8,0.09,0.11
-44.2919014,-20.0645664,1,2,64.23,"RUA JOAQUINA LOPES OLIVEIRA,N. 35 BAIRRO INDUSTRIAL, IGARAPÉ, IGARAPE",145,Apartamento,30.66,25.89,25.91
-43.96405015,-19.9027163,0,0,0,"RUA MAURICIO GUIMARAES ESQUINA COM AV BRASIL BAIRRO MADRE LILIANA, IGARAPÉ, IGARAPE",636,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,1,3,175.42,"Rua 36 Norte Bl-B, AGUAS CLARAS, TAGUATINGA",408,Apartamento,0.8,0.09,0.11
-43.96405015,-19.9027163,1,2,0,"RUA SUCUPIRA,N. 84 BAIRRO MONTE VERDE, ITABIRITO, ITABIRITO",136,Apartamento,0.8,0.09,0.11
-43.96405015,-19.9027163,0,2,99.87,"Rua 02C, LOT. FABIANA, GOIANIA",186,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,0,0,0,"RUA MARIA ABADIA ARAUJO BRASILEIRO,N. 191 BAIRRO PQ DAS PAINEIRAS, ARAGUARI, ARAGUARI",44,Terreno,0.8,0.09,0.11
-44.4402844,-20.1978104,1,3,0,"RUA SÃO PAULO,N. 152 BL. E, BAIRRO SÃO FRANCISCO, ITATIAIUÇU, ITATIAIUCU",105,Apartamento,50.87,46.11,46.17
-43.96405015,-19.9027163,0,1,45.15,"Rua Othoniel Vieira Lucas,N. 55 antiga Rua L, ÁGUA BRANCA, UNAI",28,Casa,0.8,0.09,0.11
-43.900166,-19.6346047,0,0,0,"RUA 5,N. BAIRRO MIRANTE DO FIDALGO, LAGOA SANTA, LAGOA SANTA",316,Terreno,20.69,17.16,17.22
-43.9851909,-19.8181868,0,0,0,"AVENIDA A,N. S/N, BAIRRO SERAFIM PEIXOTO, JOSÉ RAYDAN, JOSE RAYDAN",65,Terreno,2.71,0.08,0.01
-43.9851909,-19.8181868,0,0,0,"AVENIDA A,N. S/N, BAIRRO SERAFIM PEIXOTO, JOSÉ RAYDAN, JOSE RAYDAN",60,Terreno,2.71,0.08,0.01
-46.59995165,-20.72456055,0,3,0,"RUA DOS BARIRIS,N. 246 LOTEAMENTO NOVO HORIZONTE, PASSOS, PASSOS",268,Casa,282.4,277.56,277.58
-45.000472,-19.2200358,2,4,0,"RUA JOSE CIPRIANO DE CAMPOS,N. 125, CENTRO, POMPEU",263,Casa,127.5,123.18,123.1
-43.96405015,-19.9027163,1,2,0,"RUA LOURDES SOUZA SANTOS,N. 296 BAIRRO COLINA VERDE, POUSO ALEGRE, POUSO ALEGRE",181,Casa,0.8,0.09,0.11
-43.997685,-19.7969237,1,2,0,"RUA DO ROSARIO,N. 201, TONY (JUSTINOPOLIS), RIBEIRAO DAS NEVES",110,Apartamento,5.39,0.2,0.3
-43.96405015,-19.9027163,0,0,0,"RUA DIRCEU NASCIMENTO GUIMARÃES,N. 187 BAIRRO MORUMBI, SANTA VITÓRIA, SANTA VITORIA",294,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,1,3,0,"RUA MANACA,N. 622 SETOR 32, RECANTO VERDE, TIMOTEO",43,Casa,0.8,0.09,0.11
-42.6427938,-19.5792561,1,2,0,"AVENIDA ACESITA,N. 3516, SAO JOSE, TIMOTEO",151,Apartamento,134.86,131.42,131.34
-43.96405015,-19.9027163,0,0,0,"RUA CINCO,N. 213 BAIRRO VILA BELLA, TRES CORACOES, TRES CORACOES",117,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,0,0,0,"RUA PARANA,N. 141 BAIRRO AMADEU MIGUEL, TRES CORACOES, TRES CORACOES",83,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,1,2,0,"AVENIDA BELO HORIZONTE,N. 3471 BAIRRO PEDRAS GRANDES, VARZEA DA PALMA, VARZEA DA PALMA",66,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,0,0,59.53,"RUA DOUTOR MALLARD,N. 545 BAIRRO JOSÉ EVANGELISTA, VARZEA DA PALMA, VARZEA DA PALMA",94,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,1,2,0,"RUA JOÃO JORGE,N. 501-A, BAIRRO JARDIM ITÁLIA, VARZEA DA PALMA, VARZEA DA PALMA",93,Casa,0.8,0.09,0.11
-44.7345994,-17.6040886,0,2,0,"RUA PADRE ROLIM,N. 270-A BAIRRO JARDIM ITALIA, VARZEA DA PALMA, VARZEA DA PALMA",94,Casa,259.9,253.91,253.91
-44.7160447,-17.6255575,0,0,0,"RUA TRINTA E CINCO,N. 273 BAIRRO PEDRAS GRANDES, VARZEA DA PALMA, VARZEA DA PALMA",77,Casa,257.03,251.04,251.04
-44.7138569,-17.62730445,1,2,0,"RUA TRINTA,N. 380 BAIRRO PEDRAS GRANDES, VARZEA DA PALMA, VARZEA DA PALMA",66,Casa,256.78,250.79,250.79
-44.71081585,-17.6321285,0,2,0,"RUA VINTE E NOVE,N. 226 BAIRRO PEDRAS GRANDES, VARZEA DA PALMA, VARZEA DA PALMA",75,Casa,256.17,250.18,250.18
-44.7108669,-17.63213155,0,2,0,"RUA VINTE E NOVE,N. 238 BAIRRO PEDRAS GRANDES, VARZEA DA PALMA, VARZEA DA PALMA",75,Casa,256.17,250.18,250.18
-44.71082735,-17.63191255,0,2,0,"RUA VINTE E SEIS,N. 179 BAIRRO PEDRAS GRANDES, VARZEA DA PALMA, VARZEA DA PALMA",62,Casa,256.19,250.21,250.21
-43.96405015,-19.9027163,0,2,0,"RUA JOSIAS THOMAZ TERRA,N. 205 BAIRRO JARDIM DAS ORQUIDEAS, ALTEROSA, ALTEROSA",69,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,0,3,78.5,"RUA PROJETADA 04,N. 126 ATUAL RUA PROF. VERA MARIA DE SOUZA, ALTEROSA, ALTEROSA",61,Casa,0.8,0.09,0.11
-44.0042889,-19.935698,1,2,0,"RUA DO GARIMPO,N. 155, JARDINOPOLIS, BELO HORIZONTE",119,Apartamento,0.74,0.01,0.03
-43.9916315,-19.8800841,1,3,0,"RUA GUSTAVO LADEIRA,N. 11, PAQUETA, BELO HORIZONTE",254,Apartamento,3.24,0.03,0.03
-43.9440604,-19.8279286,1,0,0,"RUA OSORIO DUQUE ESTRADA,N. 454, (Nº 560), PLANALTO, BELO HORIZONTE",176,Apartamento,2.47,0.19,0.11
