coord_x,coord_y,size,address,type,price,farmac_dist,mercado_dist,restaurante_dist,regiao_id,bairro
-43.919827,-19.9095882,80,"Rua Dona Nancy de Vasconcelos Gomes, Sagrada Família, Belo Horizonte",3,350,0.01,0.04,0.08,3,Sagrada Família
-43.9496009,-19.82456,87,"Rua dos Jacamins, Vila Clóris, Belo Horizonte",3,300,0.09,0.14,0.1,6,Vila Clóris
-43.9584282,-19.8531235,75,"Rua Mascarenhas de Morais, São Luíz, Belo Horizonte",3,310,0.03,0.15,0.08,8,São Luíz
-43.96817,-19.94145925,80,,1,250,0.12,0.11,0.03,7,Nova Granada
-43.8966658,-19.8883369,77,"Rua SÃ£o FidÃ©lis, Nova Vista, Belo Horizonte",3,330,0.02,0.02,0.06,3,Nova Vista
-43.9998929,-19.882178,75,"Avenida Altamiro Avelino Soares, Castelo, Belo Horizonte",1,320,0.02,0.05,0.05,8,Castelo
-43.9654076,-19.9431754,65,"Rua Marechal Jofre, Nova Granada, Belo Horizonte",3,268,0.03,0.11,0.02,7,Nova Granada
-43.9782816,-19.9276398,85,"Rua Campos Sales, Calafate, Belo Horizonte",3,350,0.05,0.03,0.02,7,Calafate
-43.9671945,-19.9154966,121,"Rua Itanhandu, Carlos Prates, Belo Horizonte",1,290,0.17,0.08,0.06,5,Carlos Prates
-43.9441537,-19.9504586,95,"Rua Luiza Carvalho Torres, Santo Antônio, Belo Horizonte",1,340,0.08,0.12,0.09,2,Santo Antônio
-43.9180045,-19.8514416,68,"Avenida da Rede, São Gabriel, Belo Horizonte",1,200,0.14,0.1,0.11,4,São Gabriel
-43.9484601,-19.9578291,86,"Newton, Santa Lúcia, Belo Horizonte",1,350,0.12,0.35,0.12,2,Santa Lúcia
-43.9558251,-19.949228,68,"Rua Doutor HelvÃ©cio Arantes, Luxemburgo, Belo Horizonte",3,290,0.17,0.08,0.03,2,Luxemburgo
-43.9653881,-19.9623529,85,"Rua Paulo Piedade Campos, Estoril, Belo Horizonte",1,310,0.05,0.1,0.12,7,Estoril
-43.9403554,-19.8765508,83,"Avenida Artur GuimarÃ£es, Santa Cruz, Belo Horizonte",1,310,0.07,0.09,0.05,4,Santa Cruz
-43.9387805,-19.9447417,90,"Rua ViÃ§osa, Santo Antônio, Belo Horizonte",3,270,0.05,0.04,0.03,2,Santo Antônio
-43.9802287,-19.9342803,65,"Rua Zurick, Nova Suissa, Belo Horizonte",3,270,0.14,0.18,0.04,7,Nova Suissa
-43.9647457,-19.9743541,70,"Rua Juruena, Buritis, Belo Horizonte",3,280,0.1,0.2,0.16,7,Buritis
-43.9027437,-19.9173815,95,"Rua Juramento, Pompéia, Belo Horizonte",1,279,0.05,0.04,0.05,3,Pompéia
-43.9743565,-19.9436381,71,"Rua BogotÃ¡, Jardim América, Belo Horizonte",3,280,0.11,0.07,0.15,7,Jardim América
-43.9729392,-19.9794951,73,"Rua Pedro NatalÃ­cio de Morais, Buritis, Belo Horizonte",3,318,0.06,0.31,0.14,7,Buritis
-43.9778081,-19.9209455,90,"Rua Humaita, Padre Eustáquio, Belo Horizonte",3,320,0.13,0.1,0.06,5,Padre Eustáquio
-43.9236005,-19.9015813,90,"Rua Conselheiro Lafaiete, Sagrada Família, Belo Horizonte",1,330,0.09,0.08,0.02,3,Sagrada Família
-44.0028681,-19.8834559,69,"Rua Castelo de SÃ£o Jorge, Castelo, Belo Horizonte",1,310,0.15,0.28,0.28,8,Castelo
-44.018941,-19.9946368,65,"Rua Setecentos e Setenta e Seis, Diamante, Belo Horizonte",3,210,0.08,0.03,0.16,1,Diamante
-43.9777414,-19.9551734,75,"Rua EstrelÃ­tzia, Havaí, Belo Horizonte",1,320,0.03,0.03,0.01,7,Havaí
-43.9191556,-19.8714559,70,"Rua Democrata, Fernão Dias, Belo Horizonte",3,269,0.11,0.2,0.17,4,Fernão Dias
-43.9855261,-19.8682685,70,"Avenida Fleming, Ouro Preto, Belo Horizonte",1,285,0.15,0.08,0.03,8,Ouro Preto
-43.9748597,-19.9403927,88,"Rua JacarepaguÃ¡, Jardim América, Belo Horizonte",1,250,0.08,0.05,0.08,7,Jardim América
-43.9653881,-19.9623529,66,"Rua Paulo Piedade Campos, Estoril, Belo Horizonte",1,260,0.05,0.1,0.12,7,Estoril
-43.9959143,-19.9316903,88,"Rua AntÃ´nio Guerra, João Pinheiro, Belo Horizonte",3,260,0.11,0.07,0.07,5,João Pinheiro
-43.9844053,-19.8746374,74,"Rua Desembargador Pedro LicÃ­nio, Ouro Preto, Belo Horizonte",1,310,0.12,0.06,0.06,8,Ouro Preto
-43.9943384,-19.8895012,72,"Rua Elson Nunes de Souza, Castelo, Belo Horizonte",3,305,0.08,0.07,0.08,8,Castelo
-43.9781158,-19.9013948,65,"Rua Mayrink, Caiçara-Adelaide, Belo Horizonte",1,230,0.08,0.09,0.1,5,Caiçara-Adelaide
-43.9380917,-19.8404309,65,"Rua Abdenago Lisboa, Heliópolis, Belo Horizonte",1,250,0.13,0.15,0.08,6,Heliópolis
-44.0032056,-19.9492416,90,"Rua Hilarino Benedito Malta, Madre Gertrudes, Belo Horizonte",1,295,0.04,0.05,0.08,7,Madre Gertrudes
-43.9022078,-19.8856115,94,"Rua Ferreira Pinto, Nova Vista, Belo Horizonte",1,340,0.05,0.08,0.02,3,Nova Vista
-43.9213643,-19.8839983,72,"Rua ArapÃ©, União, Belo Horizonte",3,295,0.09,0.02,0.02,4,União
-43.9988988,-19.8974505,70,"Rua Wiver Hernandes da Silva, Manacás, Belo Horizonte",1,199,0.09,0.09,0.05,8,Manacás
-43.9783427,-19.9417735,78,"Rua Zurick, Salgado Filho, Belo Horizonte",1,350,0.06,0.07,0.02,7,Salgado Filho
-43.9710759,-19.9336423,108,"Rua Amparo, Alto Barroca, Belo Horizonte",3,340,0.02,0.01,0.01,7,Alto Barroca
-43.9259491,-19.8995791,90,"Rua SÃ£o LÃ¡zaro, Sagrada Família, Belo Horizonte",3,330,0.12,0.03,0.04,3,Sagrada Família
-43.9156963,-19.9010645,87,"Rua Josias Casimiro, Sagrada Família, Belo Horizonte",1,320,0.16,0.05,0.01,3,Sagrada Família
-43.9728706,-19.9612402,80,"Rua Barroso Neto, Havaí, Belo Horizonte",3,270,0.04,0.04,0.04,7,Havaí
-44.0136552,-19.8828934,103,"Rua Jornalista Geraldo Resende, SERRANO, Belo Horizonte",1,350,0.15,0.14,0.03,,SERRANO
-43.9976744,-19.8875735,98,"Rua Kennedy Maro Campos, Castelo, Belo Horizonte",1,330,0.05,0.11,0.09,8,Castelo
-43.9848982,-19.8407993,65,"Rua Dona Cidinha Stussi, Santa Amélia, Belo Horizonte",1,350,0.12,0.11,0.11,8,Santa Amélia
-43.9279363,-19.8995988,80,"Av. Cristiano Machado, Sagrada Família, Belo Horizonte",3,290,0.11,0.11,0.04,3,Sagrada Família
-43.9751979,-19.8137433,70,"Rua Corretor Juventino de Jesus, Candelária, Belo Horizonte",1,260,0.08,0.16,0.15,9,Candelária
-43.9232131,-19.8708309,70,"Rua Queluzita, São Paulo, Belo Horizonte",3,280,0.14,0.02,0.02,4,São Paulo
-43.9815426,-19.9597338,70,"Rua JÃºlio de Castilho, Cinqüentenário, Belo Horizonte",3,330,0.26,0.05,0.02,7,Cinqüentenário
-43.9983034,-19.8756552,100,"Rua Castelo Ã‰vora, Castelo, Belo Horizonte",1,345,0.15,0.04,0.03,8,Castelo
-43.929026,-19.8991257,65,"Rua JuruÃ¡, Graça, Belo Horizonte",3,250,0.02,0.02,0.07,4,Graça
-43.9694992,-19.9738664,76,"Rua SÃ­lvio de Oliveira Martins, Buritis, Belo Horizonte",3,340,0.11,0.11,0.11,7,Buritis
-44.0090904,-19.8793244,86,"Rua AgÃ­lio Cruz de Souza, Serrano, Belo Horizonte",1,320,0.13,0.27,0.15,8,Serrano
-43.9263305,-19.9122959,86,"Rua Pouso Alegre, Floresta, Belo Horizonte",1,235,0.11,0.08,0.01,3,Floresta
-43.9108662,-19.8968951,65,"Rua ApolinÃ¡rio AntÃ´nio GonÃ§alves, Horto Florestal, Belo Horizonte",3,280,0.09,0.07,0.04,3,Horto Florestal
-43.9480628,-19.952073,110,"Artur Bernardes, Santa Lúcia, Belo Horizonte",1,270,0.22,0.12,0.02,2,Santa Lúcia
-43.9490132,-19.9520738,102,"Rua Visconde do Rio das Velhas, Vila Paris, Belo Horizonte",3,318,0.25,0.08,0.08,2,Vila Paris
-43.8986682,-19.864155,73,"Rua Trucal, Goiânia, Belo Horizonte",3,235,0.15,0.11,0.07,4,Goiânia
-43.9385112,-19.8279577,69,"Rua Alga Verde, Jardim Guanabara, Belo Horizonte",3,269,0.14,0.13,0.01,6,Jardim Guanabara
-43.9385104,-19.909223,90,"Rua AraxÃ¡, Colégio Batista, Belo Horizonte",3,350,0.05,0.05,0.03,3,Colégio Batista
-43.977875,-19.9553223,82,"Rua Maria Beatriz, Havaí, Belo Horizonte",1,285,0.01,0.01,0.02,7,Havaí
-44.0189999,-19.9363405,85,"Rua Lesandro Resende Franco, Camargos, Belo Horizonte",3,330,0.12,0.12,0.12,7,Camargos
