coord_x,coord_y,size,address,price,type,farmac_dist,mercado_dist,restaurante_dist,regiao_id,bairro
-44.0449469,-19.9600321,0,"RUA CORONEL JOVE SOARES,N. 1136 BAIRRO GRANJA LEMPP, CONTAGEM, CONTAGEM",256,1,1.54,1.54,1.57,6,
-43.96405015,-19.9027163,73.07,"Al. das Rosas Cs-02, EXPANSUL, APARECIDA DE GOIANIA",51,3,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,52.54,"RUA 61,N. 210 BAIRRO CIDADE NOVA, SANTANA DO PARAÍSO, SANTANA DO PARAISO",47,1,0.09,0.09,0.11,5,Caiçaras
-44.0491711,-19.9467524,0,"RUA ROMA,N. 520, SANTA CRUZ INDUSTRIAL, CONTAGEM",49,1,2.7,2.7,2.67,6,
-43.96405015,-19.9027163,0,"RUA MAURICIO GUIMARAES ESQUINA COM AV BRASIL BAIRRO MADRE LILIANA, IGARAPÉ, IGARAPE",636,3,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,0,"RUA TARGINO CANDIDO DE OLIVEIRA,N. 98 BAIRRO CERVO, BORDA DA MATA, BORDA DA MATA",211,3,0.09,0.09,0.11,5,Caiçaras
-43.9910171,-19.8118048,66.34,"RUA CAÇAPAVA,N. 320 CASA 64, PIRATININGA (VENDA NOVA), BELO HORIZONTE",105,3,0.11,0.14,0.04,9,Piratininga
-44.190638,-19.92969,182.75,"RUA DIAMANTINA,N. 322, CONJUNTO HABITACIONAL HOMERO GIL, BETIM",176,3,14.35,14.28,14.31,6,
-43.96405015,-19.9027163,118.75,"RUA OURO PRETO,N. 995 BAIRRO VISTA ALEGRE, SALINAS, SALINAS",68,3,0.09,0.09,0.11,5,Caiçaras
-44.7185407,-17.6221263,44.8,"RUA TRINTA E SEIS,N. 251 BAIRRO PEDRAS GRANDES, VARZEA DA PALMA, VARZEA DA PALMA",26,3,251.52,251.49,251.49,6,
-43.96405015,-19.9027163,50.1,"AVENIDA JOSE MALVINO,N. 133 BAIRRO NOVO HORIZONTE, SANTA VITÓRIA, SANTA VITORIA",32,3,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,0,"RUA SETE, BAIRRO IPANEMA, SANTA BÁRBARA, SANTA BARBARA",67,4,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,0,"RUA QUATRO BAIRRO PLANALTO CENTRAL nº 336, MALACACHETA, MALACACHETA",81,3,0.09,0.09,0.11,5,Caiçaras
-48.9264872,-20.026254,134.85,"AVENIDA BRASÍLIA,N. 1126 BAIRRO NOSSA SENHORA APARECIDA, FRUTAL, FRUTAL",34,3,508.98,508.98,508.99,6,
-46.3267528,-18.9933624,0,"RUA PROFESSORA CHIQUINHA DE OLIVEIRA,N. 930 BAIRRO SANTA CRUZ, CARMO DO PARANAIBA, CARMO DO PARANAIBA",70,3,259.81,259.82,259.81,6,
